0,0
0.010101,0.014281
0.020202,0.028568
0.030303,0.042866
0.040404,0.057182
0.050505,0.071521
0.060606,0.08589
0.070707,0.10029
0.080808,0.11474
0.090909,0.12923
0.10101,0.14378
0.11111,0.15838
0.12121,0.17306
0.13131,0.1878
0.14141,0.20263
0.15152,0.21754
0.16162,0.23254
0.17172,0.24764
0.18182,0.26285
0.19192,0.27818
0.20202,0.29363
0.21212,0.3092
0.22222,0.32492
0.23232,0.34078
0.24242,0.3568
0.25253,0.37298
0.26263,0.38934
0.27273,0.40587
0.28283,0.4226
0.29293,0.43954
0.30303,0.45668
0.31313,0.47406
0.32323,0.49167
0.33333,0.50953
0.34343,0.52765
0.35354,0.54604
0.36364,0.56473
0.37374,0.58371
0.38384,0.60302
0.39394,0.62267
0.40404,0.64266
0.41414,0.66303
0.42424,0.68378
0.43434,0.70495
0.44444,0.72654
0.45455,0.74859
0.46465,0.77112
0.47475,0.79414
0.48485,0.8177
0.49495,0.84181
0.50505,0.8665
0.51515,0.89182
0.52525,0.91779
0.53535,0.94445
0.54545,0.97184
0.55556,1
0.56566,1.029
0.57576,1.0588
0.58586,1.0896
0.59596,1.1213
0.60606,1.1541
0.61616,1.1879
0.62626,1.2229
0.63636,1.2592
0.64646,1.2968
0.65657,1.3358
0.66667,1.3764
0.67677,1.4185
0.68687,1.4625
0.69697,1.5082
0.70707,1.556
0.71717,1.606
0.72727,1.6583
0.73737,1.7132
0.74747,1.7708
0.75758,1.8314
0.76768,1.8952
0.77778,1.9626
0.78788,2.0339
0.79798,2.1094
0.80808,2.1897
0.81818,2.2751
0.82828,2.3663
0.83838,2.4638
0.84848,2.5685
0.85859,2.6811
0.86869,2.8027
0.87879,2.9344
0.88889,3.0777
0.89899,3.2341
0.90909,3.4057
0.91919,3.5948
0.92929,3.8044
0.93939,4.0381
0.94949,4.3003
0.9596,4.5969
0.9697,4.9352
0.9798,5.3248
0.9899,5.7784
1,6.3138